Shape,CATEGORY,VENDORNAME,WEBSITE,ADDRESS,CITY,STATE,ZIP,TELEPHONE,CAMERAICON,BOROUGH,BCODE,HOUSENUM,STREETNAME
"(40.764402517000065, -73.9661965279999)",Hotels,The Melrose Hotel New York,http://www.melrosehotel.com,140 East 63rd Street,New York,NY,10021,(212) 715-6978, ,Manhattan,1,140,EAST 63 STREET
"(40.75779150500006, -73.98378576099992)",Hotels,The Muse Hotel,http://www.themusehotel.com,130 West 46th Street,New York,NY,10036,(212) 485-2708,yes,Manhattan,1,130,WEST 46 STREET
"(40.77450963300004, -73.98315346699991)",Hotels,The Phillips Club,http://www.phillipsclub.com,155 West 66th Street,New York,NY,10023,(212) 835-8800, ,Manhattan,1,155,WEST 66 STREET
"(40.76499784900005, -73.97603700899992)",Hotels,The Ritz Carlton,http://www.ritzcarlton.com,50 Central Park South,New York,NY,10019,(212) 521-6197, ,Manhattan,1,50,CENTRAL PARK SOUTH
"(40.70566568000004, -74.0174999919999)",Hotels,The Ritz Carlton-Battery Park,http://www.ritzcarlton.com,Two West Street,New York,NY,10004,(917) 790-2414, ,Manhattan,1,2,WEST STREET
"(40.754650849000086, -73.97729288799991)",Hotels,The Roosevelt Hotel,http://www.theroosevelthotel.com,45 East 45th Street,New York,NY,10017,(212) 885-6019, ,Manhattan,1,45,EAST 45 STREET
"(40.76097289200004, -73.98550683899992)",Hotels,The Time Hotel,http://www.thetimeny.com,224 West 49th Street,New York,NY,10019,(212) 320-2928, ,Manhattan,1,224,WEST 49 STREET
"(40.76243467200004, -73.97811358299992)",Hotels,The Warwick New York,http://www.warwickhotels.com,65 West 54th Street,New York,NY,10019,(212) 314-7727, ,Manhattan,1,65,WEST 54 STREET
"(40.72208834600008, -73.9885204659999)",Hotels,Thompson LES,http://www.thompsonhotels.com,190 Allen Street,New York,NY,10022,(212) 460-5300, ,Manhattan,1,190,ALLEN STREET
"(40.71937699700004, -74.00477272299992)",Hotels,Tribeca Grand Hotel,http://www.tribecagrand.com,2 Avenue of the Americas,New York,NY,10013,(212) 519-6641, ,Manhattan,1,2,AVENUE OF THE AMERICAS
"(40.74921858000005, -73.97204584399992)",Hotels,Tudor Hotel at the United Nations,http://www.tudorhotelny.com,304 East 42nd Street,New York,NY,10017,(212) 297-3519, ,Manhattan,1,304,EAST 42 STREET
"(40.75605463200009, -73.97228635899995)",Hotels,W New York,http://www.whotels.com,541 Lexington Avenue,New York,NY,10022,(212) 592-8873,yes,Manhattan,1,541,LEXINGTON AVENUE
"(40.749485932000084, -73.9777205279999)",Hotels,W New York - The Court,http://www.whotels.com,130 East 39th Street,New York,NY,10016,(212) 592-8873,yes,Manhattan,1,130,EAST 39 STREET
"(40.74963594900004, -73.97824410899995)",Hotels,W New York - The Tuscany,http://www.whotels.com,120 East 39th Street,New York,NY,10016,(212) 592-8873,yes,Manhattan,1,120,EAST 39 STREET
"(40.759389560000045, -73.98546599499991)",Hotels,W New York - Times Square,http://www.whotels.com,1567 Broadway,New York,NY,10036,(212) 592-8873,yes,Manhattan,1,1567,BROADWAY
"(40.73668287000004, -73.98860959199993)",Hotels,W New York - Union Square,http://www.whotels.com,201 Park Avenue South,New York,NY,10003,(212) 592-8873,yes,Manhattan,1,201,PARK AVENUE SOUTH
"(40.75650227600005, -73.97334736899995)",Hotels,Waldorf Astoria,http://www.waldorf.com,301 Park Avenue,New York,NY,10028,(212) 872-1209,yes,Manhattan,1,301,PARK AVENUE
"(40.707903773000055, -74.0071091609999)",Hotels,Wall Street District Hotel,http://www.wallstreetdistrict.com,15 Gold Street,New York,NY,10038,(212) 232-7700, ,Manhattan,1,15,GOLD STREET
"(40.76319904500008, -73.98689254699991)",Hotels,WJ Hotel,http://www.wjhotel.com,318 West 51st Street,New York,NY,10036,(212) 277-8312, ,Manhattan,1,318,WEST 51 STREET
"(40.765087437000034, -73.9716797339999)",Hotels,"The Pierre, A Taj Hotel",http://www.tajhotels.com/pierre,2 East 61st Street,New York,NY,10065,(212) 838-8000,yes,Manhattan,1,2,EAST 61 STREET
"(40.761242708000054, -73.97448615899992)",Hotels,The St. Regis New York,http://www.stregis.com,2 East 55th Street,New York,NY,10022,(212) 350-8600,yes,Manhattan,1,2,EAST 55 STREET
"(40.756603950000056, -73.99286759499995)",Hotels,Distrikt Hotel,http://www.distrikthotel.com,342 West 40th Street,New York,NY,10018,(917) 923-2960,yes,Manhattan,1,342,WEST 40 STREET
"(40.76802675700009, -73.98457388999992)",Hotels,Hudson Hotel,http://www.hudsonhotel.com,356 West 58th Street,New York,NY,10019,(212) 554-6106, ,Manhattan,1,356,WEST 58 STREET
"(40.75868936000006, -73.98628340699992)",Hotels,New York Marriott Marquis,http://www.nymarriottmarquis.com,1535 Broadway,New York,NY,10036,(212) 704-8737, ,Manhattan,1,1535,BROADWAY
"(40.754574053000056, -73.85415463699991)",Hotels,Ramada Plaza,http://www.ramada.com,37-10 114th Street,Corona,NY,11368,(718) 651-2100, ,Queens,4,37-10,114 STREET
"(40.76949792900007, -73.8758229849999)",Hotels,The Clarion Hotel at LaGuardia Airport,http://www.clarionlaguardia.com,9400 Ditmars Blvd.,East Elmherst,NY,11369,(718) 335-1200, ,Queens,4,94-00,DITMARS BOULEVARD
"(40.76722651400007, -73.8670871779999)",Hotels,Crowne Plaza at LaGuardia Airport,http://www.cplaguardia.com/,104-04 Ditmars Blvd,East Elmhurst,NY,11369,(718) 269-1724, ,Queens,4,104-04,DITMARS BOULEVARD
"(40.76793528800005, -73.86763450399991)",Hotels,Hampton Inns and Suites-LaGuardia Airport New York,http://www.hilton.com,102-40 Ditmars Blvd,East Elmhurst,NY,11369,(718) 269-1724, ,Queens,4,102-40,DITMARS BOULEVARD
"(40.76917509800006, -73.8793940779999)",Hotels,New York LaGuardia Airport Marriot,http://www.nycmarriott.com,90-10 Grand Central Parkway,East Elmhurst,NY,11396,(212) 704-8737, ,Queens,4,90-10,GRAND CENTRAL PARKWAY
"(40.77024319600008, -73.8696733239999)",Hotels,Wyndham Garden,http://www.wyndhamnewyorkhotels.com,100-15 Ditmars Blvd.,East Elmhurst,NY,11369,(718) 565-3351, ,Queens,4,100-15,DITMARS BOULEVARD
"(40.664080081000066, -73.80481922999991)",Hotels,Ramada Plaza JFK,http://www.ramada.com,"JFK Airport, Building #144",Jamaica,NY,11430,(718) 995-9000, ,Queens,4, ,JFK AIRPORT BUILDING #144
"(40.73627282000007, -73.9365784869999)",Hotels,Fairfield Inn by Marriott New York Long Island City/Manhattan View,http://www.fairfieldinnnyc.com,52-34 Van Dam Street,Long Island City,NY,11101,(718) 389-7700,yes,Queens,4,52-34,VAN DAM STREET
"(40.66733820200005, -73.7984870599999)",Hotels,Doubletree Hotel JFK Airport,http://www.jfkairport.doubletree.com,135-40 140th Street,Queens,NY,11436,(718) 322-5569, ,Queens,4,135-40,140 STREET
"(40.61328750300004, -74.15775389299995)",Hotels,Staten Island Hotel,http://www.statenislandhotel.com,1415 Richmond Avenue,Staten Island,NY,10314,(718) 698-5000 x1746, ,Staten Island,5,1415,RICHMOND AVENUE
"(40.71717029300004, -73.99814580499992)",Jewelry,195 Dragon Jewelry, ,195 Canal Street,New York,NY,10013,(212) 226-4166, ,Manhattan,1,195,CANAL STREET
"(40.73292520200005, -73.99824639799994)",Jewelry,Cassioppia,http://www.andromeda-nyc.com,38 West 8th Street,New York,NY,10011,(212) 979-9652, ,Manhattan,1,38,WEST 8 STREET
"(40.72982913100009, -74.00042214399991)",Jewelry,C'est Magnifique,http://www.cest-magnifique.com,120 Macdougal Street,New York,NY,10012,(212) 475-1613, ,Manhattan,1,120,MACDOUGAL STREET
"(40.75352872000008, -73.97420837099992)",Food & Restaurants,Baja Fresh,http://www.bajafresh.com,465 Lexington Avenue,New York,NY,10017,(212) 599-2252,yes,Manhattan,1,465,LEXINGTON AVENUE
"(40.754927138000085, -73.98702154299991)",Food & Restaurants,Baja Fresh,http://www.bajafresh.com,1441 Broadway,New York,NY,10018,(212) 764-9084,yes,Manhattan,1,1441,BROADWAY
"(40.739260338000065, -73.7620433159999)","Camera, Grip & Lighting","Black Dog Jib Productions, Inc",http://www.BlackDogJib.com,211-10 73rd Avenue,Bayside,NY,11364,(718) 974-4770, ,Queens,4,211-10,73 AVENUE
"(40.81315151500007, -73.89297053299993)","Moving, Storage & Trailers",California New York Express Moving,http://www.moveeast.com,1160 Worthen Street,Bronx,NY,10474,(888) 680-7200,yes,Bronx,2,1160,WORTHEN STREET
"(40.747918767000044, -73.99976287099992)",Casting & Talent,Casting Solutions,http://www.castingsolutions.tv,365 West 25th Street,New York,NY,10001,(212) 875-7573, ,Manhattan,1,365,WEST 25 STREET
"(40.75213724100007, -73.97651965199992)",Jewelry,Christi Sothers Fine Jewelry and Art,http://www.christisothers.com,109 East 42nd Street,New York,NY,10017,(212) 697-2674,yes,Manhattan,1,109,EAST 42 STREET
"(40.71631115800005, -73.99695901699994)",Jewelry,Foo Sing Jewelry,http://www.cathayjewelrynyc.com,162 Canal Street,New York,NY,10013,(212) 406-2116, ,Manhattan,1,162,CANAL STREET
"(40.70807341700004, -74.01315071599993)",Jewelry,Greenwich Jewelers,http://www.greenwichjewelers.com,64 Trinity Place,New York,NY,10006,(212) 964-7592, ,Manhattan,1,64,TRINITY PLACE
"(40.75736836300007, -73.9808476849999)",Jewelry,Jack of Diamonds Jewelers Internatioal,http://www.jackofdiamondsintl.com,52 West 47th Street,New York,NY,10036,(212) 869-7272, ,Manhattan,1,52,WEST 47 STREET
"(40.755625405000046, -73.98058469599994)",Jewelry,Jean Silversmith's,http://www.jeansilversmiths.com,16 West 45th Street,New York,NY,10036,(212) 575-0727, ,Manhattan,1,16,WEST 45 STREET
"(40.720482736000065, -73.98929276099994)",Jewelry,Le Roi Manhattan / Le Roi Inc.,http://www.leroimanhattan.com,80 Rivington Street,New York,NY,10002,(212) 253-6402,yes,Manhattan,1,80,RIVINGTON STREET
"(40.81885958700008, -73.88970917499995)",Location & Rental Space,Studio 889,http://www.studio889.org,889 Hunts Point Avenue,Bronx,NY,10474,(718) 620-2824,yes,Bronx,2,889,HUNTS POINT AVENUE
"(40.86055737700008, -73.89884783999992)",Location & Rental Space,The Paradise Theater,http://www.theparadisetheater.com,2413 Grand Concourse,Bronx,NY,10468,(646) 660-2537,yes,Bronx,2,2413,GRAND CONCOURSE
"(40.710806491000085, -73.9338803089999)",Location & Rental Space,3rd Ward,http://www.3rdwardbrooklyn.org,195 Morgan Avenue,Brooklyn,NY,11237,(718) 497-7010,yes,Brooklyn,3,195,MORGAN AVENUE
"(40.68217664100007, -73.98785671499991)",Location & Rental Space,Bond Street Studio,http://www.bondstreetstudio.com,235 Bond Street,Brooklyn,NY,11217,(718) 858-2238,yes,Brooklyn,3,235,BOND STREET
"(40.72460177600004, -73.96034324399994)",Location & Rental Space,"Context Studios, Inc.",http://www.contextnyc.com,1 North 12th Street,Brooklyn,NY,11211,(718) 384-8300,yes,Brooklyn,3,1,NORTH 12 STREET
"(40.68146047600004, -73.98729202899995)",Location & Rental Space,"Eastern Effects, Inc.",http://www.easterneffects.com,210 Douglass Street,Brooklyn,NY,11217,(718) 855-1197,yes,Brooklyn,3,210,DOUGLASS STREET
"(40.701954227000044, -73.95179114099994)",Location & Rental Space,Factory Studios,http://www.factorybrooklyn.com,79 Lorimer Street,Brooklyn,NY,11206,(718) 690-3980,yes,Brooklyn,3,79,LORIMER STREET
"(40.703398089000075, -73.99100853999994)",Location & Rental Space,Galapagos Art Space,http://www.galapagosartspace.com,16 Main Street,Brooklyn,NY,11201,(718) 222-8500,yes,Brooklyn,3,16,MAIN STREET
"(40.719153917000085, -73.96178587299994)",Location & Rental Space,Music Hall of Williamsburg,http://www.musichallofwilliamsburg.com,66 North Sixth Street,Brooklyn,NY,11211,(718) 486-5400,yes,Brooklyn,3,66,NORTH SIXTH STREET
"(40.612739857000065, -73.95677914499993)",Location & Rental Space,Remarkable Movers,http://www.ebaymover.com,1531 East 17th Street,Brooklyn,NY,11230,(718) 627-9292, ,Brooklyn,3,1531,EAST 17 STREET
"(40.70731125200007, -73.92910740399992)",Location & Rental Space,The Nut Roaster Studio,http://www.brooklynfireproof.com,120 Ingraham Street,Brooklyn,NY,11237,(718) 456-7570,yes,Brooklyn,3,120,INGRAHAM STREET
"(40.78559334700009, -73.97158434599993)",Location & Rental Space,1887 Townhouse,http://www.1887townhouse.com,59 West 85th Street,New York,NY,10024,(212) 877-5400,yes,Manhattan,1,59,WEST 85 STREET
"(40.73316120100009, -74.00379226699994)",Location & Rental Space,49 Grove LLC,http://www.49grovenyc.com,49 Grove Street,New York,NY,10014,(212) 727-1100,yes,Manhattan,1,49,GROVE STREET
"(40.72222889300008, -74.00131679399993)",Location & Rental Space,"Ardea Arts, Inc.", ,463 Broome Street,New York,NY,10013,(212) 431-7039,yes,Manhattan,1,463,BROOME STREET
"(40.72791854600007, -73.9926433629999)",Location & Rental Space,Astor Center,http://Rentals.AstorCenterNYC.com,399 Lafayette Street,New York,NY,10003,(212) 763-0800,yes,Manhattan,1,399,LAFAYETTE STREET
"(40.752725669000085, -73.99364401199995)",Location & Rental Space,Atlantic Video,http://www.atlanticvideo.com,305 West 34th Street,New York,NY,10001,(646) 274-1030,yes,Manhattan,1,305,WEST 34 STREET
"(40.77131822500007, -73.9891690579999)",Location & Rental Space,Manhattan neighborhood Network,http://www.mnn.org,537 West 59th Street,New York,NY,10019,(212) 757-2670x307,yes,Manhattan,1,537,WEST 59 STREET
"(40.721545295000055, -74.0060644049999)",Location & Rental Space,HAAS/crea Corp. (The Shooting Kitchen),http://www.shootingkitchen.com,13 Laight Street,New York,NY,10013,(917) 262-0816,yes,Manhattan,1,13,LAIGHT STREET
"(40.71398030800009, -73.98835232399995)",Location & Rental Space,The Educational Alliance,http://www.edalliance.org,197 East Broadway,New York,NY,11101,(646) 395-4245,yes,Manhattan,1,197,EAST BROADWAY
"(40.720436379000034, -73.99334044699992)",Location & Rental Space,Bowery Ballroom,http://www.boweryballroom.com,6 Delancy Street,New York,NY,10002,(212) 533-2111,yes,Manhattan,1,6,DELANCY STREET
"(40.75391278700005, -73.98120600599992)",Location & Rental Space,Bryant Park Restoration Corporation,http://www.bryantpark.org,500 Fifth Avenue,New York,NY,10110,(917) 438-5119,yes,Manhattan,1,500,FIFTH AVENUE
"(40.748372258000074, -74.00980945499992)",Location & Rental Space,Chelsea Piers Event Sales,http://www.chelseapiers.com/eventsales,"Pier 62, Suite 300",New York,NY,10011,(212) 336-6777,yes,Manhattan,1, ,PIER 62
"(40.75832121500008, -73.9836159809999)",Location & Rental Space,Church of St. Mary the Virgin,http://www.stmvirgin.org,145 West 46th Street,New York,NY,10036,(212) 869-5830,yes,Manhattan,1,145,WEST 46 STREET
"(40.74214439600007, -73.98989554699995)",Location & Rental Space,Cipriani,http://cipriani.com/cipriani/Locs/23rd.htm,200 Fifth Avenue,New York,NY,10010,(212) 755-0900,yes,Manhattan,1,200,FIFTH AVENUE
"(40.744812651000075, -74.00440282999995)",Location & Rental Space,City Stage,http://www.citystage.com,435 West 19th Street,New York,NY,10011,(212) 627-3400,yes,Manhattan,1,435,WEST 19 STREET
"(40.70575979800009, -74.01108719199993)",Location & Rental Space,Broad Street Ballroom,http://www.broadstreetballroom.com,41 Broad Street,New York,NY,10004,(646) 624-2524,yes,Manhattan,1,41,BROAD STREET
"(40.75012561200003, -73.98514828299994)",Location & Rental Space,"Gary's Loft, Inc.",http://www.garysloft.com,28 West 36th Street,New York,NY,10018,(917) 837-2420,yes,Manhattan,1,28,WEST 36 STREET
"(40.72306020100007, -74.00912026499992)",Location & Rental Space,Greenwich Street Productions, ,443 Greenwich Street,New York,NY,10013,(212) 219-7500,yes,Manhattan,1,443,GREENWICH STREET
"(40.736293026000055, -74.00074694299991)",Location & Rental Space,Jefferson Market Garden,http://www.jeffersonmarketgarden.org,70 A Greenwich Avenue,New York,NY,10011,(212) 255-6096,yes,Manhattan,1,70A,GREENWICH AVENUE
"(40.728698293000036, -73.99971135899995)",Location & Rental Space,Kenny's Castaways,http://www.kennyscastaways.com,157 Bleecker Street,New York,NY,10012,(212) 979-9762 / 0104,yes,Manhattan,1,157,BLEECKER STREET
"(40.722038756000074, -73.98681045199993)",Location & Rental Space,Mercury Lounge,http://www.mercuryloungenyc.com,217 East Houston Street,New York,NY,10002,(212) 260-4700,yes,Manhattan,1,217,EAST HOUSTON STREET
"(40.73653421000006, -74.00905354899993)",Location & Rental Space,Michelson Studio/M Studio,http://www.michelsonstudio.com,163 Bank Street,New York,NY,10014,(212) 633-1111,yes,Manhattan,1,163,BANK STREET
"(40.74071363100006, -73.99213501999992)",Event Planning & Marketing,DinePrivate LLC,http://www.dineprivate.com,22 West 21st Street,New York,NY,10010,(212) 375-9495, ,Manhattan,1,22,WEST 21 STREET
"(40.78474915500004, -73.95758108299992)",Location & Rental Space,Otto Kahn and James Burden Mansion,http://www.burdenkahnmansion.org,1-7 East 91st Street,New York,NY,10035,(212) 722-5470,yes,Manhattan,1,1,EAST 91 STREET
"(40.667978695000045, -73.97548429499994)",Location & Rental Space,PDS Equities, ,562 4th Street,New York,NY,11215,(718) 768-6726,yes,Brooklyn,1,562,4 STREET
"(40.754388970000036, -73.9933623199999)",Location & Rental Space,PMP Studios,http://www.pmpstudios.com,320 West 37th Street,New York,NY,11018,(212) 563-2047,yes,Manhattan,1,320,WEST 37 STREET
"(40.717924665000055, -74.01020539599995)",Location & Rental Space,Pochron Studios,http://www.pochronstudios.com,20 Jay Street,New York,NY,11201,(718) 237-1332,yes,Manhattan,1,20,JAY STREET
"(40.74155176000005, -73.99299911899993)",Location & Rental Space,PorkyåÀs NYC,http://www.porkysnyc.com,55 West 21st Street,New York,NY,10010,(212) 675-8007, ,Manhattan,1,55,WEST 21 STREET
"(40.72370283300006, -74.00076483899994)",Location & Rental Space,Renaissant Arts,http://www.soholuxuryloft.com,81 Greene Street,New York,NY,10012,(212) 966-6535,yes,Manhattan,1,81,GREENE STREET
"(40.75369371600004, -73.99200526599992)",Location & Rental Space,Ripley - Grier Studios,http://www.ripleygrier.com,520 8th Avenue,New York,NY,10018,(212) 799-5433,yes,Manhattan,1,520,8 AVENUE
"(40.70698169900004, -74.0034986249999)",Location & Rental Space,"Seaport Marketplace, LLC",http://www.southstreetseaport.com,19 Fulton Street,New York,NY,10038,(212) 732-8257,yes,Manhattan,1,19,FULTON STREET
"(40.76339983000008, -73.99132905599993)",Location & Rental Space,Shop Studios,http://www.shopstudios.tv,442 West 49th Street,New York,NY,10019,(212) 245-6145,yes,Manhattan,1,442,WEST 49 STREET
"(40.76145463100005, -73.98458940699993)",Location & Rental Space,Snapple Theater and Rehearsal Studios,http://www.stcrehearsalstudios.com,1627 Broadway,New York,NY,10019,(212) 921-7928,yes,Manhattan,1,1627,BROADWAY
"(40.72054361700009, -73.99945886499995)",Location & Rental Space,SoHoSoleil Studio Loft Locations,http://www.sohosoleil.com,136 Grand Street,New York,NY,10013,(212) 431-8824,yes,Manhattan,1,136,GRAND STREET
"(40.73515635700005, -73.97333425699992)",Location & Rental Space,Solar One,http://www.solar1.org,2420 FDR Dr. Service Rd E,New York,NY,10010,(212) 505-6050,yes,Manhattan,1,2420,FDR DRIVE SERVICE ROAD EAST
"(40.74164946800005, -73.98259159899993)",Location & Rental Space,Spanish Theatre Repertory CO. Ltd. (aka Repertorio Espanol),http://www.repertorio.org,138 East 27th Street,New York,NY,10016,(212) 225-9950, ,Manhattan,1,138,EAST 27 STREET
"(40.762972448000085, -73.98417990899992)",Location & Rental Space,T New York City,http://www.tnewyorkcity.com,240 West 52nd Street,New York,NY,10019,(212) 489-7656,yes,Manhattan,1,240,WEST 52 STREET
"(40.74304191500005, -73.98973662299994)",Location & Rental Space,The 40/40 Club,http://www.the4040club.com,6 West 25th Street,New York,NY,10010,(212) 832-4040,yes,Manhattan,1,6,WEST 25 STREET
"(40.81010556700005, -73.95213184399995)",Location & Rental Space,The Hip Hop Culture Center in Harlem,http://www.gacny.com,2309 Frederick Douglass Blvd,New York,NY,10027,(212) 926-9691,yes,Manhattan,1,2309,FREDERICK DOUGLASS BOULEVARD
"(40.73016673500007, -74.00066749599995)",Location & Rental Space,The Players Theater,http://www.theplayerstheatre.com,115 MacDougal Street,New York,NY,10012,(212) 475-1449,yes,Manhattan,1,115,MACDOUGAL STREET
"(40.73730723300008, -73.99219732899991)",Location & Rental Space,The Soho Loft,http://www.thesoholoft.com,85 Fifth Avenue,New York,NY,10003,(646) 695-6441,yes,Manhattan,1,85,5 AVENUE
"(40.75787726500005, -73.98966944099993)",Location & Rental Space,The Space,http://www.thespacenyc.net,300 West 43rd Street,New York,NY,10036,(212) 594-0140 x15,yes,Manhattan,1,300,WEST 43 STREET
"(40.75484614000004, -73.92926770299994)","Music, Audio & Sound",Dreamhire LLC,http://www.dreamhire.com,36-36 33rd Street,Long Island City,NY,11106,(212) 691-5544, ,Queens,4,36-36,33 STREET
"(40.759160476000034, -73.97965237299991)",Location & Rental Space,Top of the Rock Observation Deck,http://www.topoftherocknyc.com,30 Rockefeller Plaza,New York,NY,10112,(212) 698-200,yes,Manhattan,1,30,ROCKEFELLER PLAZA
"(40.719607228000086, -74.00990623099995)",Location & Rental Space,Tribeca Screening Room,http://www.tribecafilm.com,375 Greenwich Street,New York,NY,10013,(212) 941-2000,yes,Manhattan,1,375,GREENWICH STREET
"(40.731774646000076, -73.9890924959999)",Location & Rental Space,Webster Hall,http://www.websterhall.com,125 East 11th Street,New York,NY,10003,(212) 353-1600,yes,Manhattan,1,125,EAST 11 STREET
"(40.75576973900007, -73.99740478899992)",Location & Rental Space,West36 Lofts,http://www.west36nyc.com/,447 West 36 Sreet,New York,NY,10018,(212) 239-0414,yes,Manhattan,1,447,WEST 36 STREET
"(40.761766471000044, -73.97238866599992)",Location & Rental Space,World-Wide Business Centres,http://www.wwbcn.com,575 Madison Avenue,New York,NY,10022,(212) 605-0205,yes,Manhattan,1,575,MADISON AVENUE
"(40.769760198000085, -73.99273283899993)",Location & Rental Space,Terminal 5,http://www.eventsitenyc.com,610 West 56th Street,New York,NY,10019,(212) 665-3832, ,Manhattan,1,610,WEST 56 STREET
"(40.810590207000075, -73.89509823399993)","Moving, Storage & Trailers",Divine Moving & Storage Ltd,http://www.divinemoving.com,550 Barry Street,Bronx,NY,10474,(212) 244-4011,yes,Bronx,2,550,BARRY STREET
"(40.74463386500008, -73.98968224599992)",Location & Rental Space,For Your Imagination,http://www.foryourimagination.com/studio,22 West 27th Street,New York,NY,10001,(866) 475-6908 x709,yes,Manhattan,1,22,WEST 27 STREET
"(40.75539914500007, -73.9244325169999)",Location & Rental Space,The Aurora Gallery,http://www.theauroragallery.com,35-18 37th Street,Long Island City,NY,11101,(347) 288-6870,yes,Queens,4,35-18,37 STREET
"(40.722824950000074, -73.91349125399995)",Location & Rental Space,Clinton Diner, ,56-26 Maspeth Avenue,Maspeth,NY,11378,(718) 894-1566,yes,Queens,4,56-26,MASPETH AVENUE
"(40.64226952200005, -74.07750767599993)",Location & Rental Space,St. George Theatre / Richmond Dance Ensemble Inc.,http://www.stgeorgetheatre.com,35 Hyatt Street,Staten Island,NY,10301,(718) 442-2900,yes,Staten Island,5,35,HYATT STREET
"(40.50617041400005, -74.2242178589999)",Location & Rental Space,The Original Butler Manor Historic House on Staten Island,http://spacesmsn.com/edwardkitka1963,485 Butler Boulevard,Staten Island,NY,10309,(718) 948-6732,yes,Staten Island,5,485,BUTLER BOULEVARD
"(40.70346800400006, -73.98982206199992)",Location & Rental Space,Dumbo Arts center,http://www.dumboartscenter.org/spacerental.html,30 Washington Street,Brooklyn,NY,11201,(718) 694-0831,yes,Brooklyn,3,30,WASHINGTON STREET
"(40.69489779500009, -73.9583634249999)",Props,A&S Chair Rental,http://www.aschairrental.com,132 Franklin Avenue,Brooklyn,NY,11205,(718) 387-3494, ,Brooklyn,3,132,FRANKLIN AVENUE
"(40.70783107700004, -74.00699751199994)",Hotels,Gild Hall - A Thompson Hotel,http://www.thompsonhotels.com,15 Gold Street,New York,NY,10038,(212) 232-7700,yes,Manhattan,1,15,GOLD STREET
"(40.767509646000065, -73.98317200199995)",Hotels,6 Columbus - A Thompson Hotel,http://www.thompsonhotels.com,6 Columbus Circle,New York,NY,10019,(212) 204-3000,yes,Manhattan,1,6,COLUMBUS CIRCLE
"(40.72270568700009, -74.00480255399992)",Hotels,The James New York,http://www.jameshotels.com,27 Grand Street,New York,NY,10013,(212) 465-2000,yes,Manhattan,1,27,GRAND STREET
"(40.72242121800008, -73.95694612099993)",Manufacturing & Supplies,Star Poly Bag Inc.,http://www.starpoly.com,94 North 13th Street,Brooklyn,NY,11211,(718) 384-3130, ,Brooklyn,3,94,NORTH 13 STREET
"(40.72774833800008, -74.00785812299995)",Manufacturing & Supplies,Atlas Materials & Packaging of NY,http://www.atlasmaterials.com,116 King Street,New York,NY,11231,(718) 875-1162, ,Manhattan,1,116,KING STREET
"(40.75241874500006, -74.00632759899992)",Manufacturing & Supplies,"Pathe Shipping Supplies Company, Inc.",http://www.pathesupplies.com,646 West 28th Street,New York,NY,10001,(212) 239-2380, ,Manhattan,1,646,WEST 28 STREET
"(40.61909914600005, -73.92848427599995)",Marine & Water Services,Fish NYC Inc.,http://www.fishnyc.com,4809 Avenue N,Brooklyn,NY,11234,(718) 629-3615,yes,Brooklyn,3,4809,AVENUE N
"(40.67324731300005, -74.01674885499995)",Marine & Water Services,New York Water Taxi,http://www.nywatertaxi.com,499 Van Brunt Street,Brooklyn,NY,11231,(212) 742-1969,yes,Brooklyn,3,499,VAN BRUNT STREET
